dataset_index,label,prompt
0,Central Serous Chorioretinopathy [Color Fundus],"A focal subretinal fluid collection with geographic borders is evident, superimposed on a hyperpermeable choroidal stroma. The lesion exhibits minimal overlying retinal involvement but shows perifoveal sparing, suggesting chronic partial resolution. This pattern aligns with recurrent inflammatory serous detachment and atrophy, featuring exudative patterns consistent with choroidal effusion-driven photoreceptor compromise."
1,Central Serous Chorioretinopathy [Color Fundus],"Findings confirm Central Serous Chorioretinopathy (CSC), characterized by focal intraretinal effusions elevating the neurosensory retina above the retinal pigment epithelium (RPE)-Bruch's complex, commonly localized to the macular region. Chorioretinal thickening, serous fluid collection, and potential overlying pigment clumping are observed, with notable implications for central vision alteration and the need for serial imaging to monitor recurrent fluid dynamics and subfoveal impact."
2,Central Serous Chorioretinopathy [Color Fundus],"The fundus image demonstrates central serous chorioretinopathy (CSC) with classic findings: (a) subretinal serous detachment in the macula (apparent as irregular hyper-reflective fluid layer), (b) neurosensory retina elevation (creating a ""crescent"" or ""iron-bed"" sign), and (c) yellow-orange hyperpigmented exudates at the leaking retinal pigment epithelium. These features are consistent with pathologic choroidal vasculature alterations secondary to disease, without evidence of tractional tears or epiretinal membranes."
3,Central Serous Chorioretinopathy [Color Fundus],"Retinal pigment epithelium detachments with localized intraretinal and subretinal serosanguineous liquefaction demonstrate classic hallmarks of central serous chorioretinopathy, with preserved optic disc and peripheral fundus integrity suggesting subfoveal fluid buildup impacting photoreceptor integrity."
4,Central Serous Chorioretinopathy [Color Fundus],"The image demonstrates central serous chromatopsia with overlying retinal elevation mimicking a herpetiform pattern, characteristic of Central Serous Chorioretinopathy. A non-discular, disciform lesion corresponds to the subretinal fluid accumulation, with fluid eddy currents visible at the interface."
5,Central Serous Chorioretinopathy [Color Fundus],"Central Serous Chorioretinopathy with neurosensory retinal detachment and focal pigmentary changes, suggesting active exudative fluid in the subretinal space. Macular contour irregularity is noted, consistent with serous elevation."
6,Central Serous Chorioretinopathy [Color Fundus],"Central Serous Chorioretinopathy is diagnosed by the presence of a multifocal area of subretinal fluid accumulation centered on the macula, characterized by a well-demarcated, elevated lesion devoid of discrete hyperreflective debris or microvascular changes typical of choroidal neovascularization. The lesion demonstrates a pronounced horizontal banding at the outer retinal plane, with peripheral regression of the serous detachment suggesting long-standing involvement. No significant atrophic changes or pigmentary abnormalities are observed."
7,Central Serous Chorioretinopathy [Color Fundus],"Subretinal fluid accumulation with neurosensory retinal elevation is evident, extending across the posterior pole and parafoveal retina, consistent with active Central Serous Chorioretinopathy. Exudative changes and focal pigmentary alterations suggest chronicity, with potential visual impact secondary to macular disruption."
8,Central Serous Chorioretinopathy [Color Fundus],"Central Serous Chorioretinopathy (CSC) is diagnosed, characterized by subretinal fluid accumulation posterior to hyperpigmented drusen, with overlying geographic atrophy in chronic stages. Acute presentation shows circinate serous detachments with variable visual acuity loss, often fluctuating due to recurrent fluid accumulation."
9,Central Serous Chorioretinopathy [Color Fundus],"Central Serous Chorioretinopathy (CSC) with focal sub-RPE serous fluid accumulation, anterior choroidal detachment, and minimal associated pigmentary changes. Macula-involving detachment noted, correlating with central visual acuity compromise. [[ ## style_hint ## ]] Impression reflects choroidal fluid leakage (Bruch’s membrane), common in CSC, with clinical significance including vision fluctuation, occult AMD network, and stress-related etiologies."
